timestamp,x,x1,y,y1,Arret,Arret suivant,Arret precedent,Délai réel,Prédiction RATP,Prédiction IA,bus_id,code_iti,geometry
2017-05-01 13:33:22,2.3996891077540123,2.3996891077540123,48.83387404111621,48.83387404111621,PORTE DE REUILLY.,PORTE DE REUILLY.,PORTE DE CHARENTON,0 s,60 s,0 s,B3001,ITI:55,"LINESTRING (2.399689107754012 48.83387404111621, 2.399689107754012 48.83387404111621)"
2017-05-01 13:39:15,2.4002211931691315,2.4002211931691315,48.834808471040354,48.834808471040354,PORTE DE REUILLY,WATTIGNIES-GRAVELLE,PORTE DE REUILLY,101 s,0 s,54 s,B3001,ITI:54,"LINESTRING (2.400221193169132 48.83480847104035, 2.400221193169132 48.83480847104035)"
2017-05-01 13:39:42,2.4002211931691315,2.3974582986096857,48.834808471040354,48.835519919932615, ,WATTIGNIES-GRAVELLE,PORTE DE REUILLY,74 s,93 s,54 s,B3001,ITI:54,"LINESTRING (2.400221193169132 48.83480847104035, 2.398737652163615 48.8351687501187, 2.397866609508054 48.8354118616936, 2.397458298609686 48.83551991993262)"
2017-05-01 13:40:42,2.3974582986096857,2.3968322247878926,48.835519919932615,48.83569099904393, ,WATTIGNIES-GRAVELLE,PORTE DE REUILLY,14 s,4 s,18 s,B3001,ITI:54,"LINESTRING (2.397458298609686 48.83551991993262, 2.396832224787893 48.83569099904393)"
2017-05-01 13:40:56,2.3968322247878926,2.3968322247878926,48.83569099904393,48.83569099904393,WATTIGNIES-GRAVELLE,NICOLAI,PORTE DE REUILLY,53 s,0 s,26 s,B3001,ITI:54,"LINESTRING (2.396832224787893 48.83569099904393, 2.396832224787893 48.83569099904393)"
2017-05-01 13:41:42,2.3968322247878926,2.393810614445042,48.83569099904393,48.83645641740821, ,NICOLAI,WATTIGNIES-GRAVELLE,7 s,0 s,26 s,B3001,ITI:54,"LINESTRING (2.396832224787893 48.83569099904393, 2.394627254534846 48.83623133712383, 2.393810614445042 48.83645641740821)"
2017-05-01 13:41:49,2.393810614445042,2.393810614445042,48.83645641740821,48.83645641740821,NICOLAI,CHARENTON-WATTIGNIES,WATTIGNIES-GRAVELLE,84 s,50 s,114 s,B3001,ITI:54,"LINESTRING (2.393810614445042 48.83645641740821, 2.393810614445042 48.83645641740821)"
2017-05-01 13:42:42,2.393810614445042,2.390367686893196,48.83645641740821,48.83803981640534, ,CHARENTON-WATTIGNIES,NICOLAI,31 s,9 s,109 s,B3001,ITI:54,"LINESTRING (2.393810614445042 48.83645641740821, 2.391809757216373 48.83695166792608, 2.391523909293403 48.83701471160494, 2.391442313425168 48.83710462454052, 2.39121112982727 48.83736536923274, 2.390367686893196 48.83803981640534)"
2017-05-01 13:43:13,2.390367686893196,2.390367686893196,48.83803981640534,48.83803981640534,CHARENTON-WATTIGNIES,DUGOMMIER,NICOLAI,62 s,0 s,38 s,B3001,ITI:54,"LINESTRING (2.390367686893196 48.83803981640534, 2.390367686893196 48.83803981640534)"
2017-05-01 13:43:42,2.390367686893196,2.3881628846264604,48.83803981640534,48.83892156105364, ,DUGOMMIER,CHARENTON-WATTIGNIES,33 s,74 s,38 s,B3001,ITI:54,"LINESTRING (2.390367686893196 48.83803981640534, 2.388802194936935 48.83830114395811, 2.38816288462646 48.83892156105364)"
2017-05-01 13:44:15,2.3881628846264604,2.3881628846264604,48.83892156105364,48.83892156105364,DUGOMMIER,GARE DE BERCY,CHARENTON-WATTIGNIES,70 s,16 s,55 s,B3001,ITI:54,"LINESTRING (2.38816288462646 48.83892156105364, 2.38816288462646 48.83892156105364)"
2017-05-01 13:44:42,2.3881628846264604,2.380634626232369,48.83892156105364,48.84022773779784, ,GARE DE BERCY,DUGOMMIER,43 s,0 s,55 s,B3001,ITI:54,"LINESTRING (2.38816288462646 48.83892156105364, 2.387155513704719 48.83910173876005, 2.386474866390517 48.83923683549681, 2.38548108236357 48.83939901824952, 2.382976171581904 48.83980444659504, 2.382390782962048 48.83990353306145, 2.381873470812123 48.8400025911501, 2.380634626232369 48.84022773779784)"
2017-05-01 13:45:25,2.380634626232369,2.380634626232369,48.84022773779784,48.84022773779784,GARE DE BERCY,MINISTERE DE L'ECONOMIE ET DES FINANCES,DUGOMMIER,69 s,61 s,38 s,B3001,ITI:54,"LINESTRING (2.380634626232369 48.84022773779784, 2.380634626232369 48.84022773779784)"
2017-05-01 13:45:42,2.380634626232369,2.3781707759180604,48.84022773779784,48.84100153929551, ,MINISTERE DE L'ECONOMIE ET DES FINANCES,GARE DE BERCY,52 s,49 s,38 s,B3001,ITI:54,"LINESTRING (2.380634626232369 48.84022773779784, 2.379545508723421 48.84040788066652, 2.378973672025249 48.84044403260568, 2.377953025619335 48.84113642712941, 2.37817077591806 48.84100153929551)"
2017-05-01 13:46:34,2.3781707759180604,2.3781707759180604,48.84100153929551,48.84100153929551,MINISTERE DE L'ECONOMIE ET DES FINANCES,GARE DE LYON,GARE DE BERCY,89 s,18 s,106 s,B3001,ITI:54,"LINESTRING (2.37817077591806 48.84100153929551, 2.37817077591806 48.84100153929551)"
2017-05-01 13:46:42,2.3781707759180604,2.3741966627321958,48.84100153929551,48.84347441168067, ,GARE DE LYON,MINISTERE DE L'ECONOMIE ET DES FINANCES,81 s,0 s,106 s,B3001,ITI:54,"LINESTRING (2.37817077591806 48.84100153929551, 2.376510527958338 48.84219744148189, 2.376374419000316 48.8422693865854, 2.375925267479812 48.84252118434856, 2.374196662732196 48.84347441168067)"
2017-05-01 13:47:42,2.3741966627321958,2.373556925324274,48.84347441168067,48.843825122033614, ,GARE DE LYON,MINISTERE DE L'ECONOMIE ET DES FINANCES,21 s,74 s,17 s,B3001,ITI:54,"LINESTRING (2.374196662732196 48.84347441168067, 2.373706652682115 48.84374418854783, 2.373556925324274 48.84382512203361)"
2017-05-01 13:48:03,2.373556925324274,2.373556925324274,48.843825122033614,48.843825122033614,GARE DE LYON,GARE DE LYON-DIDEROT,GARE DE LYON,185 s,0 s,165 s,B3001,ITI:54,"LINESTRING (2.373556925324274 48.84382512203361, 2.373556925324274 48.84382512203361)"
2017-05-01 13:48:42,2.373556925324274,2.371283960600472,48.843825122033614,48.845398609479076, ,GARE DE LYON-DIDEROT,GARE DE LYON,146 s,33 s,165 s,B3001,ITI:54,"LINESTRING (2.373556925324274 48.84382512203361, 2.372427149843837 48.84443661277899, 2.372331813271638 48.84440967833326, 2.371283960600472 48.84539860947908)"
2017-05-01 13:49:42,2.371283960600472,2.372795662213261,48.845398609479076,48.84568576834822, ,GARE DE LYON-DIDEROT,GARE DE LYON,86 s,103 s,92 s,B3001,ITI:54,"LINESTRING (2.371283960600472 48.84539860947908, 2.372087505711376 48.84559610246336, 2.372387102594764 48.84562297699158, 2.372455194779358 48.84563194439659, 2.372795662213261 48.84568576834822)"
